Freguesia DW,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,Partido,Voto (%),Voto,,,,,,,,,
União das freguesias de Cascais e Estoril,PPD/PSD,"35,58%","11,421",PS,"26,62%","8,545",IL,"13,26%","4,257",CH,"8,95%","2,873",B.E.,"3,36%","1,079",CDS-PP,"3,04%",976,PCP-PEV,"2,54%",814,L,"2,23%",717,PAN,"1,93%",621,ADN,"0,35%",112,PCTP/MRPP,"0,22%",70,R.I.R.,"0,17%",54,VP,"0,12%",40,MPT,"0,10%",33,MAS,"0,08%",27,JPP,"0,06%",20,A,"0,06%",19,E,"0,06%",19,NC,"0,04%",14,,,,,,,,,
União das freguesias de Alcobaça e Vestiaria,PS,"35,60%","1,265",PPD/PSD,"34,73%","1,234",CH,"6,84%",243,IL,"5,60%",199,B.E.,"4,33%",154,PCP-PEV,"3,80%",135,CDS-PP,"2,36%",84,PAN,"1,49%",53,L,"1,32%",47,R.I.R.,"0,53%",19,NC,"0,31%",11,ADN,"0,25%",9,E,"0,25%",9,MPT,"0,11%",4,MAS,"0,06%",2,VP,"0,06%",2,PTP,"0,00%",0,EMBRANCO,"1,21%",43,NULOS,"1,13%",40,,,,,,,,,
Ribamar,PPD/PSD,"35,62%",385,PS,"32,47%",351,CH,"11,56%",125,IL,"4,81%",52,B.E.,"3,33%",36,CDS-PP,"3,05%",33,PCP-PEV,"2,13%",23,ADN,"0,93%",10,PAN,"0,65%",7,L,"0,46%",5,MPT,"0,37%",4,PCTP/MRPP,"0,28%",3,R.I.R.,"0,28%",3,VP,"0,28%",3,A,"0,19%",2,E,"0,09%",1,JPP,"0,00%",0,MAS,"0,00%",0,NC,"0,00%",0,,,,,,,,,
Albergaria-a-Velha e Valmaior,PPD/PSD,"35,65%","1,834",PS,"34,90%","1,795",CH,"7,72%",397,IL,"5,00%",257,CDS-PP,"4,82%",248,B.E.,"4,72%",243,PCP-PEV,"1,56%",80,PAN,"1,50%",77,L,"0,70%",36,R.I.R.,"0,35%",18,PCTP/MRPP,"0,19%",10,ADN,"0,17%",9,MAS,"0,14%",7,VP,"0,14%",7,MPT,"0,10%",5,E,"0,08%",4,JPP,"0,04%",2,EMBRANCO,"1,34%",69,NULOS,"0,89%",46,,,,,,,,,
"União das freguesias de Leiria, Pousos, Barreira e Cortes",PPD/PSD,"35,66%","6,579",PS,"33,83%","6,24",IL,"7,57%","1,397",CH,"6,27%","1,157",B.E.,"5,38%",993,PCP-PEV,"2,31%",427,CDS-PP,"1,92%",355,L,"1,69%",312,PAN,"1,66%",306,ADN,"0,41%",75,R.I.R.,"0,32%",59,MPT,"0,17%",31,NC,"0,16%",29,VP,"0,11%",21,MAS,"0,09%",16,PTP,"0,07%",12,E,"0,05%",10,EMBRANCO,"1,41%",260,NULOS,"0,91%",168,,,,,,,,,
Pombal – Pombal,PS,"35,68%","2,707",PPD/PSD,"34,82%","2,642",CH,"7,84%",595,IL,"5,75%",436,B.E.,"4,97%",377,PCP-PEV,"1,99%",151,CDS-PP,"1,90%",144,L,"1,16%",88,PAN,"1,16%",88,R.I.R.,"0,54%",41,ADN,"0,33%",25,MPT,"0,21%",16,MAS,"0,16%",12,VP,"0,07%",5,PTP,"0,05%",4,NC,"0,03%",2,E,"0,01%",1,EMBRANCO,"2,41%",183,NULOS,"0,92%",70,,,,,,,,,
Sá,PPD/PSD,"35,68%",81,PS,"34,36%",78,CDS-PP,"14,54%",33,B.E.,"3,96%",9,CH,"3,96%",9,PCP-PEV,"2,20%",5,IL,"1,76%",4,R.I.R.,"1,76%",4,L,"0,44%",1,PAN,"0,44%",1,A,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,88%",2,NULOS,"0,00%",0,,,,,,,,,,,,,,,
Benavente,PS,"35,71%","1,515",PPD/PSD,"24,46%","1,038",CH,"13,79%",585,PCP-PEV,"9,40%",399,IL,"4,71%",200,B.E.,"4,64%",197,CDS-PP,"1,74%",74,L,"1,32%",56,PAN,"1,01%",43,R.I.R.,"0,52%",22,E,"0,19%",8,MAS,"0,19%",8,PTP,"0,12%",5,MPT,"0,09%",4,VP,"0,02%",1,EMBRANCO,"1,32%",56,NULOS,"0,75%",32,,,,,,,,,,,,,,,
Constância,PS,"35,71%",190,PPD/PSD,"20,68%",110,CH,"15,04%",80,PCP-PEV,"9,77%",52,B.E.,"4,89%",26,IL,"4,14%",22,CDS-PP,"3,95%",21,PAN,"2,26%",12,L,"1,13%",6,MPT,"0,38%",2,R.I.R.,"0,38%",2,E,"0,19%",1,MAS,"0,19%",1,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,94%",5,NULOS,"0,38%",2,,,,,,,,,,,,,,,
Gafanha da Nazaré,PS,"35,72%","2,504",PPD/PSD,"32,76%","2,297",CH,"8,60%",603,IL,"6,33%",444,B.E.,"5,19%",364,CDS-PP,"2,30%",161,PAN,"2,00%",140,PCP-PEV,"1,85%",130,L,"1,18%",83,PCTP/MRPP,"0,53%",37,R.I.R.,"0,48%",34,MPT,"0,21%",15,ADN,"0,19%",13,MAS,"0,10%",7,VP,"0,09%",6,E,"0,06%",4,JPP,"0,06%",4,EMBRANCO,"1,61%",113,NULOS,"0,74%",52,,,,,,,,,
Armação de Pêra,PS,"35,73%",801,PPD/PSD,"28,72%",644,CH,"14,99%",336,B.E.,"4,86%",109,PCP-PEV,"4,59%",103,IL,"4,50%",101,PAN,"1,78%",40,CDS-PP,"0,89%",20,L,"0,89%",20,ADN,"0,49%",11,R.I.R.,"0,40%",9,VP,"0,22%",5,E,"0,13%",3,PTP,"0,13%",3,MPT,"0,09%",2,MAS,"0,04%",1,EMBRANCO,"0,98%",22,NULOS,"0,54%",12,,,,,,,,,,,,
Montenegro,PS,"35,75%","1,623",PPD/PSD,"28,50%","1,294",CH,"9,60%",436,IL,"7,40%",336,B.E.,"6,08%",276,PCP-PEV,"3,79%",172,PAN,"2,49%",113,L,"1,17%",53,CDS-PP,"1,15%",52,ADN,"0,66%",30,MPT,"0,37%",17,R.I.R.,"0,29%",13,MAS,"0,20%",9,E,"0,07%",3,VP,"0,07%",3,PTP,"0,04%",2,EMBRANCO,"1,50%",68,NULOS,"0,88%",40,,,,,,,,,,,,
Lajes das Flores,PPD/PSD.CDS-PP.PPM,"35,78%",73,PS,"34,31%",70,CH,"6,37%",13,B.E.,"4,41%",9,PCP-PEV,"2,94%",6,IL,"2,45%",5,R.I.R.,"1,96%",4,PAN,"1,47%",3,ADN,"0,98%",2,E,"0,98%",2,L,"0,98%",2,PCTP/MRPP,"0,98%",2,MAS,"0,00%",0,MPT,"0,00%",0,VP,"0,00%",0,EMBRANCO,"5,39%",11,NULOS,"0,98%",2,,,,,,,,,,,,,,,
União das freguesias de Aricera e Goujoim,PS,"35,78%",39,PPD/PSD,"31,19%",34,CDS-PP,"20,18%",22,IL,"5,50%",6,CH,"1,83%",2,PAN,"0,92%",1,PCP-PEV,"0,92%",1,R.I.R.,"0,92%",1,ADN,"0,00%",0,B.E.,"0,00%",0,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"2,75%",3,,,,,,,,,
"Labrujó, Rendufe e Vilar do Monte",PPD/PSD,"35,86%",71,PS,"35,86%",71,CDS-PP,"12,63%",25,CH,"5,05%",10,IL,"2,02%",4,PCP-PEV,"1,01%",2,VP,"1,01%",2,B.E.,"0,51%",1,L,"0,51%",1,MPT,"0,51%",1,PAN,"0,51%",1,R.I.R.,"0,51%",1,A,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,EMBRANCO,"1,52%",3,NULOS,"2,53%",5,,,,,,,,,,,,,,,
Vilar – Cadaval,PPD/PSD,"35,88%",319,PS,"33,97%",302,CH,"10,80%",96,IL,"4,27%",38,B.E.,"4,16%",37,PCP-PEV,"2,92%",26,CDS-PP,"1,35%",12,L,"1,01%",9,PAN,"0,79%",7,MPT,"0,34%",3,R.I.R.,"0,34%",3,ADN,"0,22%",2,PCTP/MRPP,"0,22%",2,E,"0,11%",1,MAS,"0,11%",1,NC,"0,11%",1,PTP,"0,11%",1,A,"0,00%",0,JPP,"0,00%",0,,,,,,,,,
Paranhos – Porto,PS,"35,90%","9,14",PPD/PSD,"34,22%","8,714",IL,"6,94%","1,767",B.E.,"6,50%","1,656",PCP-PEV,"4,85%","1,236",CH,"2,96%",754,L,"2,27%",578,PAN,"2,25%",573,CDS-PP,"1,41%",358,R.I.R.,"0,45%",115,ADN,"0,16%",40,VP,"0,14%",35,E,"0,11%",27,MAS,"0,08%",20,MPT,"0,05%",12,NC,"0,04%",10,PTP,"0,03%",8,A,"0,02%",5,JPP,"0,00%",1,,,,,,,,,
Rosto do Cão (Livramento),PPD/PSD.CDS-PP.PPM,"35,90%",583,PS,"34,30%",557,B.E.,"6,96%",113,CH,"6,83%",111,IL,"6,34%",103,L,"2,28%",37,PAN,"1,72%",28,PCP-PEV,"0,86%",14,MPT,"0,43%",7,R.I.R.,"0,43%",7,ADN,"0,31%",5,E,"0,06%",1,PCTP/MRPP,"0,06%",1,VP,"0,06%",1,MAS,"0,00%",0,EMBRANCO,"2,22%",36,NULOS,"1,23%",20,,,,,,,,,,,,,,,
Rosto do Cão (Livramento),PPD/PSD.CDS-PP.PPM,"35,90%",583,PS,"34,30%",557,B.E.,"6,96%",113,CH,"6,83%",111,IL,"6,34%",103,L,"2,28%",37,PAN,"1,72%",28,PCP-PEV,"0,86%",14,MPT,"0,43%",7,R.I.R.,"0,43%",7,ADN,"0,31%",5,E,"0,06%",1,PCTP/MRPP,"0,06%",1,VP,"0,06%",1,MAS,"0,00%",0,EMBRANCO,"2,22%",36,NULOS,"1,23%",20,,,,,,,,,,,,,,,
Santiago de Montalegre,PS,"35,90%",56,PPD/PSD,"33,33%",52,CH,"10,90%",17,B.E.,"5,13%",8,PCP-PEV,"3,21%",5,MAS,"1,92%",3,PAN,"1,92%",3,CDS-PP,"0,64%",1,IL,"0,64%",1,L,"0,64%",1,R.I.R.,"0,64%",1,E,"0,00%",0,MPT,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,92%",3,NULOS,"3,21%",5,,,,,,,,,,,,,,,
Queimada,PPD/PSD,"35,92%",51,PS,"28,17%",40,IL,"8,45%",12,CH,"7,75%",11,CDS-PP,"7,04%",10,B.E.,"2,82%",4,R.I.R.,"2,82%",4,PCP-PEV,"2,11%",3,PAN,"1,41%",2,VP,"0,70%",1,ADN,"0,00%",0,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"0,70%",1,NULOS,"2,11%",3,,,,,,,,,
União das freguesias de Lourinhã e Atalaia,PS,"35,99%","2,314",PPD/PSD,"32,26%","2,074",CH,"10,69%",687,IL,"4,78%",307,B.E.,"4,43%",285,PCP-PEV,"2,72%",175,PAN,"1,85%",119,CDS-PP,"1,56%",100,L,"1,32%",85,R.I.R.,"0,51%",33,PCTP/MRPP,"0,42%",27,ADN,"0,30%",19,E,"0,14%",9,MAS,"0,14%",9,JPP,"0,11%",7,MPT,"0,08%",5,PTP,"0,06%",4,VP,"0,06%",4,A,"0,03%",2,,,,,,,,,
Santo António dos Olivais,PS,"36,00%","8,485",PPD/PSD,"35,13%","8,278",B.E.,"6,85%","1,614",IL,"6,40%","1,509",PCP-PEV,"4,70%","1,108",CH,"3,22%",758,L,"1,99%",470,CDS-PP,"1,89%",445,PAN,"1,41%",333,PCTP/MRPP,"0,16%",37,MAS,"0,14%",32,VP,"0,14%",32,R.I.R.,"0,13%",31,A,"0,07%",17,MPT,"0,05%",12,E,"0,05%",11,EMBRANCO,"1,18%",278,NULOS,"0,50%",117,,,,,,,,,,,,
Freixieiro de Soutelo,PS,"36,03%",98,PPD/PSD,"28,31%",77,CH,"14,71%",40,B.E.,"7,35%",20,IL,"4,04%",11,CDS-PP,"2,21%",6,R.I.R.,"2,21%",6,PCP-PEV,"1,47%",4,L,"0,74%",2,E,"0,37%",1,MAS,"0,37%",1,VP,"0,37%",1,A,"0,00%",0,MPT,"0,00%",0,PAN,"0,00%",0,EMBRANCO,"1,84%",5,NULOS,"0,00%",0,,,,,,,,,,,,,,,
Ponta Delgada (São Pedro),PPD/PSD.CDS-PP.PPM,"36,04%",1.110,PS,"34,61%",1.066,IL,"7,11%",219,B.E.,"6,59%",203,CH,"5,65%",174,PAN,"2,44%",75,L,"1,92%",59,PCP-PEV,"1,62%",50,ADN,"0,81%",25,PCTP/MRPP,"0,29%",9,MPT,"0,19%",6,E,"0,16%",5,R.I.R.,"0,16%",5,VP,"0,13%",4,MAS,"0,06%",2,EMBRANCO,"1,36%",42,NULOS,"0,84%",26,,,,,,,,,,,,,,,
Ponta Delgada (São Pedro),PPD/PSD.CDS-PP.PPM,"36,04%","1,11",PS,"34,61%","1,066",IL,"7,11%",219,B.E.,"6,59%",203,CH,"5,65%",174,PAN,"2,44%",75,L,"1,92%",59,PCP-PEV,"1,62%",50,ADN,"0,81%",25,PCTP/MRPP,"0,29%",9,MPT,"0,19%",6,E,"0,16%",5,R.I.R.,"0,16%",5,VP,"0,13%",4,MAS,"0,06%",2,EMBRANCO,"1,36%",42,NULOS,"0,84%",26,,,,,,,,,,,,,,,
Ponta Delgada (São Sebastião),PPD/PSD.CDS-PP.PPM,"36,04%","1,11",PS,"34,61%","1,066",IL,"7,11%",219,B.E.,"6,59%",203,CH,"5,65%",174,PAN,"2,44%",75,L,"1,92%",59,PCP-PEV,"1,62%",50,ADN,"0,81%",25,PCTP/MRPP,"0,29%",9,MPT,"0,19%",6,E,"0,16%",5,R.I.R.,"0,16%",5,VP,"0,13%",4,MAS,"0,06%",2,EMBRANCO,"1,36%",42,NULOS,"0,84%",26,,,,,,,,,,,,,,,
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",PS,"36,06%","7,191",PPD/PSD,"31,12%","6,206",B.E.,"8,21%","1,637",IL,"6,51%","1,298",PCP-PEV,"5,29%","1,055",L,"3,32%",662,CH,"3,05%",608,PAN,"2,39%",477,CDS-PP,"1,79%",357,R.I.R.,"0,25%",50,ADN,"0,20%",40,VP,"0,16%",31,MPT,"0,07%",13,E,"0,06%",12,MAS,"0,06%",11,NC,"0,05%",10,JPP,"0,04%",7,A,"0,02%",4,PTP,"0,02%",4,,,,,,,,,
Bonfim,PS,"36,08%","4,837",PPD/PSD,"32,35%","4,337",B.E.,"7,38%",989,IL,"6,01%",806,PCP-PEV,"5,66%",759,CH,"3,04%",408,L,"2,82%",378,PAN,"2,38%",319,CDS-PP,"1,57%",211,ADN,"0,29%",39,R.I.R.,"0,26%",35,VP,"0,16%",22,E,"0,10%",13,MAS,"0,09%",12,NC,"0,09%",12,MPT,"0,04%",6,JPP,"0,03%",4,PTP,"0,02%",3,A,"0,01%",2,,,,,,,,,
Rendo,PS,"36,11%",39,PPD/PSD,"30,56%",33,CH,"20,37%",22,B.E.,"3,70%",4,IL,"3,70%",4,PAN,"1,85%",2,CDS-PP,"0,93%",1,PCP-PEV,"0,93%",1,PTP,"0,93%",1,VP,"0,93%",1,E,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,R.I.R.,"0,00%",0,EMBRANCO,"0,00%",0,NULOS,"0,00%",0,,,,,,,,,,,,,,,
"União das freguesias de Caldas da Rainha - Nossa Senhora do Pópulo, Coto e São Gregório",PS,"36,12%","3,291",PPD/PSD,"31,46%","2,867",CH,"6,92%",631,IL,"6,74%",614,B.E.,"6,23%",568,PCP-PEV,"3,35%",305,CDS-PP,"2,02%",184,L,"1,81%",165,PAN,"1,73%",158,R.I.R.,"0,50%",46,ADN,"0,32%",29,NC,"0,20%",18,E,"0,11%",10,MPT,"0,10%",9,MAS,"0,09%",8,PTP,"0,07%",6,VP,"0,07%",6,EMBRANCO,"1,32%",120,NULOS,"0,85%",77,,,,,,,,,
Tocha,PS,"36,13%",655,PPD/PSD,"34,86%",632,CH,"14,56%",264,B.E.,"3,59%",65,IL,"2,54%",46,CDS-PP,"2,04%",37,PCP-PEV,"1,43%",26,PAN,"0,88%",16,L,"0,66%",12,VP,"0,22%",4,PCTP/MRPP,"0,17%",3,A,"0,11%",2,R.I.R.,"0,11%",2,E,"0,06%",1,MAS,"0,06%",1,MPT,"0,00%",0,EMBRANCO,"1,38%",25,NULOS,"1,21%",22,,,,,,,,,,,,
Ramalde,PPD/PSD,"36,29%","8,201",PS,"34,11%","7,709",IL,"8,43%","1,904",B.E.,"5,31%","1,2",PCP-PEV,"4,19%",946,CH,"3,11%",702,CDS-PP,"2,35%",532,L,"1,95%",440,PAN,"1,88%",424,R.I.R.,"0,34%",76,ADN,"0,12%",27,VP,"0,11%",25,E,"0,08%",19,MAS,"0,06%",14,MPT,"0,06%",14,NC,"0,05%",11,PTP,"0,04%",10,A,"0,04%",8,JPP,"0,01%",3,,,,,,,,,
Ericeira,PS,"36,35%","2,172",PPD/PSD,"27,76%","1,659",IL,"8,97%",536,CH,"8,30%",496,B.E.,"5,19%",310,PCP-PEV,"3,55%",212,L,"2,88%",172,PAN,"2,21%",132,CDS-PP,"1,17%",70,ADN,"0,49%",29,R.I.R.,"0,25%",15,MPT,"0,22%",13,PCTP/MRPP,"0,22%",13,MAS,"0,13%",8,JPP,"0,10%",6,E,"0,08%",5,VP,"0,08%",5,A,"0,07%",4,NC,"0,07%",4,,,,,,,,,
União das freguesias de Paradela e Granjinha,PS,"36,36%",20,PPD/PSD,"34,55%",19,CH,"14,55%",8,B.E.,"7,27%",4,ADN,"0,00%",0,CDS-PP,"0,00%",0,E,"0,00%",0,IL,"0,00%",0,L,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PAN,"0,00%",0,PCP-PEV,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,82%",1,NULOS,"5,45%",3,,,,,,,,,
União das freguesias de Arcos e Mogofores,PS,"36,37%","1,141",PPD/PSD,"34,81%","1,092",IL,"6,38%",200,CH,"6,06%",190,B.E.,"4,75%",149,CDS-PP,"3,03%",95,PCP-PEV,"2,30%",72,PAN,"1,88%",59,L,"0,73%",23,PCTP/MRPP,"0,61%",19,R.I.R.,"0,35%",11,ADN,"0,32%",10,JPP,"0,10%",3,MPT,"0,10%",3,VP,"0,06%",2,MAS,"0,03%",1,E,"0,00%",0,EMBRANCO,"1,56%",49,NULOS,"0,57%",18,,,,,,,,,
Moitas Venda,PPD/PSD,"36,38%",163,PS,"35,94%",161,CH,"9,15%",41,B.E.,"4,02%",18,IL,"2,90%",13,CDS-PP,"2,68%",12,L,"1,34%",6,R.I.R.,"1,12%",5,PAN,"0,67%",3,PCP-PEV,"0,45%",2,VP,"0,45%",2,E,"0,22%",1,MPT,"0,22%",1,MAS,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"3,35%",15,NULOS,"1,12%",5,,,,,,,,,,,,,,,
Santo Isidoro,PS,"36,48%",857,PPD/PSD,"30,31%",712,CH,"7,83%",184,IL,"7,45%",175,B.E.,"4,26%",100,PCP-PEV,"2,89%",68,PAN,"2,81%",66,L,"2,26%",53,CDS-PP,"0,77%",18,ADN,"0,47%",11,PCTP/MRPP,"0,47%",11,MPT,"0,26%",6,R.I.R.,"0,26%",6,JPP,"0,13%",3,A,"0,09%",2,VP,"0,09%",2,E,"0,04%",1,NC,"0,04%",1,MAS,"0,00%",0,,,,,,,,,
Arcozelo – Vila Nova de Gaia,PPD/PSD,"36,49%","3,122",PS,"35,34%","3,023",IL,"8,35%",714,B.E.,"4,47%",382,CH,"4,38%",375,PCP-PEV,"2,92%",250,PAN,"2,23%",191,CDS-PP,"2,03%",174,L,"1,05%",90,R.I.R.,"0,30%",26,ADN,"0,15%",13,VP,"0,08%",7,MAS,"0,07%",6,MPT,"0,07%",6,E,"0,06%",5,NC,"0,06%",5,JPP,"0,02%",2,A,"0,01%",1,PTP,"0,01%",1,,,,,,,,,
Salir de Matos,PS,"36,50%",449,PPD/PSD,"33,74%",415,CH,"10,16%",125,IL,"4,80%",59,B.E.,"3,74%",46,PCP-PEV,"2,28%",28,CDS-PP,"2,11%",26,L,"0,98%",12,PAN,"0,73%",9,ADN,"0,49%",6,R.I.R.,"0,41%",5,MPT,"0,33%",4,MAS,"0,08%",1,NC,"0,08%",1,VP,"0,08%",1,E,"0,00%",0,PTP,"0,00%",0,EMBRANCO,"1,87%",23,NULOS,"1,63%",20,,,,,,,,,
Arnas,PPD/PSD,"36,51%",46,PS,"30,16%",38,CDS-PP,"9,52%",12,CH,"9,52%",12,B.E.,"3,97%",5,PCP-PEV,"1,59%",2,L,"0,79%",1,MAS,"0,79%",1,PAN,"0,79%",1,ADN,"0,00%",0,E,"0,00%",0,IL,"0,00%",0,MPT,"0,00%",0,NC,"0,00%",0,PTP,"0,00%",0,R.I.R.,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,59%",2,NULOS,"4,76%",6,,,,,,,,,
Pedreiras,PPD/PSD,"36,51%",517,PS,"35,38%",501,CH,"10,17%",144,IL,"5,44%",77,B.E.,"3,18%",45,PCP-PEV,"1,77%",25,CDS-PP,"1,62%",23,PAN,"1,13%",16,L,"0,56%",8,VP,"0,35%",5,NC,"0,28%",4,R.I.R.,"0,14%",2,ADN,"0,07%",1,MAS,"0,07%",1,PTP,"0,07%",1,E,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"1,91%",27,NULOS,"1,34%",19,,,,,,,,,
Calheiros,PS,"36,53%",198,PPD/PSD,"34,69%",188,CDS-PP,"9,96%",54,CH,"6,27%",34,B.E.,"3,32%",18,PCP-PEV,"2,77%",15,IL,"2,21%",12,PAN,"1,11%",6,A,"0,37%",2,R.I.R.,"0,37%",2,L,"0,18%",1,VP,"0,18%",1,E,"0,00%",0,MAS,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"0,92%",5,NULOS,"1,11%",6,,,,,,,,,,,,,,,
Cidade da Maia,PS,"36,54%","8,757",PPD/PSD,"36,23%","8,683",IL,"7,40%","1,773",B.E.,"5,17%","1,24",CH,"3,64%",873,PCP-PEV,"2,98%",714,PAN,"2,27%",545,L,"1,49%",356,CDS-PP,"1,29%",308,R.I.R.,"0,36%",87,ADN,"0,15%",36,MPT,"0,14%",33,E,"0,10%",24,VP,"0,09%",22,MAS,"0,07%",17,A,"0,06%",14,NC,"0,06%",14,JPP,"0,03%",8,PTP,"0,03%",8,,,,,,,,,
Silveira,PS,"36,55%","1,807",PPD/PSD,"29,61%","1,464",CH,"9,02%",446,IL,"6,41%",317,B.E.,"4,85%",240,PCP-PEV,"3,48%",172,PAN,"1,78%",88,L,"1,70%",84,CDS-PP,"1,56%",77,ADN,"0,51%",25,R.I.R.,"0,47%",23,PCTP/MRPP,"0,44%",22,A,"0,14%",7,NC,"0,14%",7,JPP,"0,10%",5,MPT,"0,10%",5,E,"0,08%",4,MAS,"0,04%",2,VP,"0,04%",2,,,,,,,,,
São Bernardo,PPD/PSD,"36,57%","1,072",PS,"32,82%",962,IL,"7,57%",222,CH,"6,99%",205,B.E.,"5,83%",171,CDS-PP,"2,90%",85,PAN,"1,74%",51,PCP-PEV,"1,30%",38,L,"1,09%",32,R.I.R.,"0,48%",14,PCTP/MRPP,"0,24%",7,E,"0,20%",6,MPT,"0,17%",5,ADN,"0,10%",3,JPP,"0,10%",3,VP,"0,10%",3,MAS,"0,07%",2,EMBRANCO,"1,33%",39,NULOS,"0,38%",11,,,,,,,,,
"União das freguesias de Nogueira, Fraião e Lamaçães",PPD/PSD,"36,60%","3,469",PS,"34,81%","3,3",IL,"8,23%",780,B.E.,"5,27%",500,CH,"4,91%",465,PCP-PEV,"2,86%",271,PAN,"1,84%",174,L,"1,57%",149,CDS-PP,"1,36%",129,R.I.R.,"0,21%",20,A,"0,13%",12,MPT,"0,11%",10,VP,"0,11%",10,MAS,"0,08%",8,JPP,"0,07%",7,PTP,"0,03%",3,E,"0,02%",2,EMBRANCO,"1,30%",123,NULOS,"0,50%",47,,,,,,,,,
"Ardegão, Freixo e Mato",PPD/PSD,"36,63%",352,PS,"36,11%",347,CDS-PP,"8,64%",83,CH,"5,83%",56,IL,"3,23%",31,B.E.,"2,50%",24,PCP-PEV,"1,35%",13,L,"0,83%",8,PAN,"0,83%",8,R.I.R.,"0,62%",6,E,"0,21%",2,VP,"0,21%",2,MPT,"0,10%",1,A,"0,00%",0,MAS,"0,00%",0,EMBRANCO,"1,46%",14,NULOS,"1,46%",14,,,,,,,,,,,,,,,
Bertiandos,PPD/PSD,"36,63%",100,PS,"32,60%",89,CDS-PP,"15,02%",41,CH,"4,76%",13,B.E.,"2,20%",6,IL,"1,83%",5,L,"1,47%",4,PCP-PEV,"1,10%",3,MPT,"0,37%",1,PAN,"0,37%",1,R.I.R.,"0,37%",1,A,"0,00%",0,E,"0,00%",0,MAS,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,47%",4,NULOS,"1,83%",5,,,,,,,,,,,,,,,
Roliça,PS,"36,65%",471,PPD/PSD,"30,89%",397,CH,"9,42%",121,PCP-PEV,"6,38%",82,IL,"4,98%",64,CDS-PP,"3,89%",50,B.E.,"3,81%",49,PAN,"0,62%",8,ADN,"0,54%",7,L,"0,47%",6,R.I.R.,"0,47%",6,E,"0,08%",1,MAS,"0,08%",1,NC,"0,08%",1,MPT,"0,00%",0,PTP,"0,00%",0,VP,"0,00%",0,EMBRANCO,"1,17%",15,NULOS,"0,47%",6,,,,,,,,,
São Vicente Ferreira,PS,"36,66%",305,PPD/PSD.CDS-PP.PPM,"35,46%",295,CH,"7,93%",66,IL,"6,13%",51,B.E.,"5,17%",43,PCP-PEV,"1,68%",14,PAN,"1,56%",13,ADN,"0,96%",8,L,"0,48%",4,PCTP/MRPP,"0,36%",3,VP,"0,24%",2,MAS,"0,12%",1,R.I.R.,"0,12%",1,E,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"1,80%",15,NULOS,"1,32%",11,,,,,,,,,,,,,,,
São Vicente Ferreira,PS,"36,66%",305,PPD/PSD.CDS-PP.PPM,"35,46%",295,CH,"7,93%",66,IL,"6,13%",51,B.E.,"5,17%",43,PCP-PEV,"1,68%",14,PAN,"1,56%",13,ADN,"0,96%",8,L,"0,48%",4,PCTP/MRPP,"0,36%",3,VP,"0,24%",2,MAS,"0,12%",1,R.I.R.,"0,12%",1,E,"0,00%",0,MPT,"0,00%",0,EMBRANCO,"1,80%",15,NULOS,"1,32%",11,,,,,,,,,,,,,,,
Portimão,PS,"36,67%","7,73",PPD/PSD,"24,35%","5,134",CH,"14,34%","3,023",B.E.,"6,63%","1,398",IL,"5,28%","1,113",PCP-PEV,"4,15%",875,PAN,"2,38%",501,CDS-PP,"1,35%",285,L,"1,10%",232,ADN,"0,65%",138,R.I.R.,"0,31%",66,MPT,"0,22%",46,MAS,"0,15%",32,PTP,"0,15%",31,E,"0,13%",27,VP,"0,12%",26,EMBRANCO,"1,19%",251,NULOS,"0,82%",173,,,,,,,,,,,,
